n_components,accuracy,precision,recall,f1,ari,nmi
1,0.535031847133758,0.4846153846153846,0.44366197183098594,0.4632352941176471,0.003621776399771433,0.002187155890147174
2,0.5392781316348195,0.4895833333333333,0.4413145539906103,0.4641975308641975,0.004849013063503619,0.0028385667638839373
3,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
4,0.5371549893842887,0.48704663212435234,0.4413145539906103,0.4630541871921182,0.004211521685907113,0.0024865366157886815
5,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
6,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
7,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
8,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
9,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
10,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
11,0.5382165605095541,0.4883116883116883,0.4413145539906103,0.4636251541307028,0.004525787959048489,0.0026595270322974252
12,0.5371549893842887,0.4869791666666667,0.43896713615023475,0.46172839506172836,0.004199036004653264,0.002456583485391938
13,0.5382165605095541,0.4883116883116883,0.4413145539906103,0.4636251541307028,0.004525787959048489,0.0026595270322974252
14,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
15,0.5414012738853503,0.49206349206349204,0.43661971830985913,0.4626865671641791,0.0054959512887083305,0.0031491657211267965
16,0.5382165605095541,0.48825065274151436,0.43896713615023475,0.4622991347342398,0.004513161001154854,0.0026287830937515824
17,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
18,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
19,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
20,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
21,0.5382165605095541,0.4883116883116883,0.4413145539906103,0.4636251541307028,0.004525787959048489,0.0026595270322974252
22,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
23,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
24,0.5424628450106157,0.49333333333333335,0.43427230046948356,0.46192259675405745,0.005832003047023126,0.003311919990840844
25,0.5424628450106157,0.49333333333333335,0.43427230046948356,0.46192259675405745,0.005832003047023126,0.003311919990840844
26,0.5424628450106157,0.49333333333333335,0.43427230046948356,0.46192259675405745,0.005832003047023126,0.003311919990840844
27,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
28,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
29,0.5456475583864119,0.4972972972972973,0.431924882629108,0.4623115577889447,0.006920333146985828,0.0039002235942978305
30,0.5424628450106157,0.49333333333333335,0.43427230046948356,0.46192259675405745,0.005832003047023126,0.003311919990840844
